timestamp,label,cpu_usage,cpu_delta,network_rx_rps,net_delta,memory_usage_mb,payment_cpu,restart_rate,pod_restarts_5m
2026-05-25 15:46:32,1,0.611874,-0.031162,1463.172918,-334.4097,1521.179688,0.000727,0.0,3.333333
2026-05-25 15:46:49,1,0.543281,-0.068593,1686.59954,223.4266,1554.953125,0.000593,0.0,3.333333
2026-05-25 15:47:07,1,0.473268,-0.070013,1468.062212,-218.5373,1624.796875,0.000538,0.0,3.333333
2026-05-25 15:47:24,1,0.469974,-0.003294,905.685909,-562.3763,917.40625,0.000464,0.033333,3.333333
2026-05-25 15:47:41,1,0.306534,-0.16344,653.539169,-252.1467,1086.527344,0.000623,0.0,2.222222
2026-05-25 15:47:59,1,0.352858,0.046324,903.536842,249.9977,1089.753906,0.00079,0.0,2.222222
2026-05-25 15:48:16,1,0.49583,0.142972,1316.585725,413.0489,1156.957031,0.000576,0.0,2.222222
2026-05-25 15:48:33,1,0.462337,-0.033493,958.704668,-357.8811,1163.804688,0.000613,0.0,2.222222
2026-05-25 15:51:03,2,0.098296,0.025089,100.42478,79.8835,1315.597656,0.000604,0.0,2.222222
2026-05-25 15:51:22,2,0.260536,0.16224,399.856435,299.4317,1298.621094,0.000583,0.0,2.222222
2026-05-25 15:51:40,2,0.370889,0.110353,444.01219,44.1558,1430.113281,0.000484,0.0,1.111111
2026-05-25 15:51:58,2,0.310888,-0.060001,188.57734,-255.4348,1466.460938,0.000427,0.0,1.111111
2026-05-25 15:52:15,2,0.271473,-0.039415,89.166365,-99.411,1532.785156,0.00055,0.0,1.111111
2026-05-25 15:52:33,2,0.304247,0.032774,257.405155,168.2388,1608.367188,0.000621,0.0,1.111111
2026-05-25 15:52:52,2,0.316835,0.012588,308.199011,50.7939,1632.453125,0.00077,0.0,1.111111
2026-05-25 15:53:10,2,0.28069,-0.036145,200.914132,-107.2849,1682.097656,0.000635,0.0,1.111111
2026-05-25 15:53:27,2,0.345114,0.064424,198.096765,-2.8174,1638.570312,0.053225,0.0,1.111111
2026-05-25 15:53:44,2,0.388162,0.043048,202.337711,4.2409,1703.003906,0.08802,0.0,0.0
2026-05-25 15:54:03,2,0.367231,-0.020931,242.955935,40.6182,1707.75,0.090208,0.0,0.0
2026-05-25 15:54:24,2,0.307891,-0.05934,261.044632,18.0887,1704.480469,0.0,0.0,0.0
2026-05-25 15:54:44,2,0.329144,0.021253,290.39484,29.3502,1715.390625,0.0,0.0,0.0
2026-05-25 15:55:06,2,0.323675,-0.005469,249.91627,-40.4786,1717.601562,0.0,0.0,0.0
2026-05-25 15:55:27,2,0.32848,0.004805,295.525356,45.6091,1764.699219,0.0,0.0,0.0
2026-05-25 15:55:48,2,0.282302,-0.046178,318.789198,23.2638,1767.8125,0.0,0.0,0.0
2026-05-25 15:56:12,2,0.320282,0.03798,316.912374,-1.8768,1769.695312,0.0,0.0,0.0
2026-05-25 15:56:34,2,0.333095,0.012813,361.494307,44.5819,1797.027344,0.0,0.0,0.0
2026-05-25 15:56:55,2,0.26427,-0.068825,348.651809,-12.8425,807.636719,0.0,0.0,0.0
2026-05-25 15:57:18,2,0.273353,0.009083,446.465287,97.8135,1039.792969,0.0,0.033333,1.111111
2026-05-25 15:57:38,2,0.351747,0.078394,449.150688,2.6854,1112.609375,0.0,0.0,1.111111
2026-05-25 15:57:58,2,0.28355,-0.068197,350.535573,-98.6151,1120.3125,0.0,0.0,1.111111
2026-05-25 15:58:20,2,0.337787,0.054237,412.146602,61.611,1189.25,0.0,0.0,1.111111
2026-05-25 15:58:39,2,0.349006,0.011219,438.780771,26.6342,1205.164062,0.0,0.0,1.111111
2026-05-25 15:59:01,2,0.330056,-0.01895,325.195411,-113.5854,1223.523438,0.0,0.0,1.111111
2026-05-25 15:59:21,2,0.326528,-0.003528,383.959452,58.764,1255.523438,0.0,0.0,1.111111
2026-05-25 15:59:42,2,0.326972,0.000444,376.349174,-7.6103,1277.683594,0.0,0.0,1.111111
2026-05-25 15:59:59,2,0.323333,-0.003639,368.550127,-7.799,1302.574219,0.0,0.0,1.111111
2026-05-25 16:00:19,2,0.249208,-0.074125,364.25387,-4.2963,1403.5,0.0,0.0,1.111111
2026-05-25 16:00:41,2,0.279075,0.029867,168.567741,-195.6861,1406.441406,0.0,0.0,1.111111
2026-05-25 16:01:01,2,0.249529,-0.029546,141.366964,-27.2008,1467.429688,0.0,0.0,1.111111
2026-05-25 16:01:20,2,0.321499,0.07197,384.42593,243.059,1486.371094,0.0,0.0,1.111111
2026-05-25 16:01:41,2,0.339987,0.018488,335.38935,-49.0366,1529.710938,0.0,0.0,0.0
2026-05-25 16:02:01,2,0.279236,-0.060751,154.370131,-181.0192,1615.15625,0.0,0.0,0.0
