timestamp,label,cpu_usage,cpu_delta,network_rx_rps,net_delta,memory_usage_mb,http_error_rate,p99_latency_ms,rabbitmq_queue,payment_cpu,restart_rate,pod_restarts_5m
2026-05-25 16:00:19,2,0.249208,-0.074125,364.25387,-4.2963,1403.5,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:00:41,2,0.279075,0.029867,168.567741,-195.6861,1406.441406,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:01:01,2,0.249529,-0.029546,141.366964,-27.2008,1467.429688,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:01:20,2,0.321499,0.07197,384.42593,243.059,1486.371094,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:01:41,2,0.339987,0.018488,335.38935,-49.0366,1529.710938,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 16:02:01,2,0.279236,-0.060751,154.370131,-181.0192,1615.15625,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 16:02:22,2,0.277283,-0.001953,118.465582,-35.9045,1621.546875,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 16:02:43,2,0.314797,0.037514,225.840852,107.3753,1716.292969,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 16:03:00,2,0.329292,0.014495,269.579574,43.7387,1716.910156,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 16:03:18,2,0.26638,-0.062912,232.179469,-37.4001,1785.945312,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 16:03:37,2,0.294788,0.028408,167.941562,-64.2379,1788.785156,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:03:56,2,0.233405,-0.061383,254.047521,86.106,811.140625,0.0,0.0,0.0,0.0,0.033333,1.111111
2026-05-25 16:04:14,2,0.26072,0.027315,511.689043,257.6415,1059.339844,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:04:33,2,0.351724,0.091004,484.147482,-27.5416,1094.835938,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:04:51,2,0.329317,-0.022407,344.731849,-139.4156,1117.464844,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:05:10,2,0.307743,-0.021574,339.60049,-5.1314,1146.121094,0.0,0.0,0.0,0.0,0.0,1.111111
2026-05-25 16:05:28,2,0.299238,-0.008505,414.979764,75.3793,1188.328125,0.0,0.0,0.0,0.0,0.0,1.111111
